# Format: Title,GENRE,Seasons,StartYear,EndYear,Rating,Director,Actor1;Actor2;...
Breaking Bad,CRIME,5,2008,2013,9.5,Vince Gilligan,Bryan Cranston;Aaron Paul;Anna Gunn
Better Call Saul,CRIME,6,2015,2022,8.9,Vince Gilligan,Bob Odenkirk;Rhea Seehorn;Jonathan Banks
Game of Thrones,FANTASY,8,2011,2019,9.2,David Benioff,Emilia Clarke;Kit Harington;Peter Dinklage
Stranger Things,SCI_FI,4,2016,,8.7,The Duffer Brothers,Millie Bobby Brown;Finn Wolfhard;Winona Ryder
The Crown,HISTORY,5,2016,2023,8.6,Peter Morgan,Olivia Colman;Claire Foy;Tobias Menzies
The Mandalorian,SCI_FI,3,2019,,8.7,Jon Favreau,Pedro Pascal;Gina Carano;Carl Weathers
The Witcher,FANTASY,3,2019,,8.2,Lauren Schmidt,Henry Cavill;Anya Chalotra;Freya Allan
House of the Dragon,FANTASY,1,2022,,8.5,Miguel Sapochnik,Emma D'Arcy;Matt Smith;Olivia Cooke
The Last of Us,ADVENTURE,1,2023,,9.1,Craig Mazin,Pedro Pascal;Bella Ramsey;Anna Torv
The Boys,ACTION,4,2019,,8.7,Eric Kripke,Karl Urban;Jack Quaid;Antony Starr
Peaky Blinders,CRIME,6,2013,2022,8.8,Steven Knight,Cillian Murphy;Paul Anderson;Helen McCrory
Dark,SCIFI,3,2017,2020,8.8,Baran bo Odar,Louis Hofmann;Lisa Vicari;Andreas Pietschmann
Money Heist,THRILLER,5,2017,2021,8.2,Álex Pina,Úrsula Corberó;Álvaro Morte;Itziar Ituño
Ozark,CRIME,4,2017,2022,8.4,Bill Dubuque,Jason Bateman;Laura Linney;Julia Garner
The Queen's Gambit,DRAMA,1,2020,2020,8.6,Scott Frank,Anya Taylor-Joy;Chloe Pirrie;Bill Camp
Narcos,CRIME,3,2015,2017,8.8,Carlo Bernard,Wagner Moura;Boyd Holbrook;Pedro Pascal
Narcos: Mexico,CRIME,3,2018,2021,8.4,Carlo Bernard,Diego Luna;Scoot McNairy;Teresa Ruiz
The Umbrella Academy,ACTION,3,2019,,8.0,Steve Blackman,Elliot Page;Tom Hopper;David Castañeda
The Haunting of Hill House,HORROR,1,2018,2018,8.6,Mike Flanagan,Michiel Huisman;Carla Gugino;Henry Thomas
Mindhunter,CRIME,2,2017,2019,8.6,Joe Penhall,Jonathan Groff;Holt McCallany;Anna Torv
The Handmaid's Tale,DRAMA,5,2017,,8.4,Bruce Miller,Elisabeth Moss;Yvonne Strahovski;Joseph Fiennes
Westworld,SCIFI,4,2016,2022,8.5,Lisa Joy,Evan Rachel Wood;Thandiwe Newton;Jeffrey Wright
Black Mirror,SCIFI,6,2011,,8.8,Charlie Brooker,Daniel Lapaine;Hannah John-Kamen;Michaela Coel
Daredevil,ACTION,3,2015,2018,8.6,Drew Goddard,Charlie Cox;Vincent D'Onofrio;Deborah Ann Woll
The Punisher,ACTION,2,2017,2019,8.5,Steve Lightfoot,Jon Bernthal;Amber Rose Revah;Ben Barnes
Jessica Jones,CRIME,3,2015,2019,7.9,Melissa Rosenberg,Krysten Ritter;David Tennant;Rachael Taylor
Luke Cage,ACTION,2,2016,2018,7.3,Cheo Hodari Coker,Mike Colter;Mahershala Ali;Simone Missick
Iron Fist,ACTION,2,2017,2018,6.5,Scott Buck,Finn Jones;Jessica Henwick;Tom Pelphrey
The Defenders,ACTION,1,2017,2017,7.3,Douglas Petrie,Charlie Cox;Krysten Ritter;Mike Colter
The Sopranos,CRIME,6,1999,2007,9.2,David Chase,James Gandolfini;Lorraine Bracco;Edie Falco
Friends,COMEDY,10,1994,2004,8.9,David Crane,Jennifer Aniston;Courteney Cox;Lisa Kudrow
The Office,COMEDY,9,2005,2013,9.0,Greg Daniels,Steve Carell;John Krasinski;Jenna Fischer
Sherlock,CRIME,4,2010,2017,9.1,Steven Moffat,Benedict Cumberbatch;Martin Freeman;Una Stubbs
Chernobyl,DRAMA,1,2019,2019,9.4,Johan Renck,Jared Harris;Stellan Skarsgård;Emily Watson
The Wire,CRIME,5,2002,2008,9.3,David Simon,Dominic West;Lance Reddick;Sonja Sohn
Rick and Morty,ANIMATION,6,2013,,9.2,Dan Harmon,Justin Roiland;Chris Parnell;Spencer Grammer
The Walking Dead,HORROR,11,2010,2022,8.2,Frank Darabont,Andrew Lincoln;Norman Reedus;Melissa McBride
Vikings,HISTORY,6,2013,2020,8.5,Michael Hirst,Travis Fimmel;Katheryn Winnick;Gustaf Skarsgård
Vikings: Valhalla,HISTORY,2,2022,,7.1,Jeb Stuart,Sam Corlett;Leo Suter;Frida Gustavsson
The Big Bang Theory,COMEDY,12,2007,2019,8.1,Chuck Lorre,Johnny Galecki;Jim Parsons;Kaley Cuoco
How I Met Your Mother,COMEDY,9,2005,2014,8.3,Carter Bays,Josh Radnor;Jason Segel;Cobie Smulders
Brooklyn Nine-Nine,COMEDY,8,2013,2021,8.4,Dan Goor,Andy Samberg;Stephanie Beatriz;Terry Crews
The Good Place,COMEDY,4,2016,2020,8.2,Michael Schur,Kristen Bell;Ted Danson;William Jackson Harper
Parks and Recreation,COMEDY,7,2009,2015,8.6,Greg Daniels;Michael Schur,Amy Poehler;Nick Offerman;Chris Pratt
Arrested Development,COMEDY,5,2003,2019,8.7,Mitchell Hurwitz,Jason Bateman;Michael Cera;Portia de Rossi
The Office (UK),COMEDY,2,2001,2003,8.5,Ricky Gervais,Ricky Gervais;Martin Freeman;Mackenzie Crook
Fleabag,COMEDY,2,2016,2019,8.7,Phoebe Waller-Bridge,Phoebe Waller-Bridge;Sian Clifford;Olivia Colman
Barry,COMEDY,4,2018,2023,8.3,Bill Hader,Bill Hader;Stephen Root;Sarah Goldberg
Atlanta,COMEDY,4,2016,2022,8.6,Donald Glover,Donald Glover;Brian Tyree Henry;Lakeith Stanfield
Ted Lasso,COMEDY,3,2020,2023,8.8,Jason Sudeikis,Jason Sudeikis;Hannah Waddingham;Brett Goldstein
The Marvelous Mrs. Maisel,COMEDY,5,2017,2023,8.7,Amy Sherman-Palladino,Rachel Brosnahan;Alex Borstein;Michael Zegen
Succession,DRAMA,4,2018,2023,8.8,Jesse Armstrong,Brian Cox;Jeremy Strong;Sarah Snook
Better Things,COMEDY,5,2016,2022,8.0,Pamela Adlon,Pamela Adlon;Mikey Madison;Hannah Alligood
Russian Doll,COMEDY,2,2019,2022,7.9,Leslye Headland;Amy Poehler;Natasha Lyonne,Natasha Lyonne;Charlie Barnett;Annie Murphy
Master of None,COMEDY,3,2015,2021,8.3,Aziz Ansari,Aziz Ansari;Eric Wareheim;Lena Waithe
The Good Doctor,DRAMA,6,2017,,8.1,David Shore,Freddie Highmore;Antonia Thomas;Hill Harper
This Is Us,DRAMA,6,2016,2022,8.7,Dan Fogelman,Milo Ventimiglia;Mandy Moore;Sterling K. Brown
Grey's Anatomy,DRAMA,19,2005,,7.6,Shonda Rhimes,Ellen Pompeo;Chandra Wilson;James Pickens Jr.
House,DRAMA,8,2004,2012,8.7,David Shore,Hugh Laurie;Omar Epps;Robert Sean Leonard
The Good Wife,POLITICAL,7,2009,2016,8.3,Michelle King;Robert King,Julianna Margulies;Matt Czuchry;Archie Panjabi
Homeland,THRILLER,8,2011,2020,8.3,Alex Gansa;Howard Gordon,Claire Danes;Mandy Patinkin;Damian Lewis
24,THRILLER,9,2001,2014,8.4,Joel Surnow;Robert Cochran,Kiefer Sutherland;Mary Lynn Rajskub;Carlos Bernard
Prison Break,THRILLER,5,2005,2017,8.3,Paul Scheuring,Wentworth Miller;Dominic Purcell;Sarah Wayne Callies
Lost,MYSTERY,6,2004,2010,8.3,J.J. Abrams,Jorge Garcia;Josh Holloway;Yunjin Kim
Fargo,CRIME,5,2014,,9.0,Noah Hawley,Billy Bob Thornton;Martin Freeman;Allison Tolman
True Detective,CRIME,4,2014,,9.0,Nic Pizzolatto,Matthew McConaughey;Woody Harrelson;Colin Farrell
The X-Files,SCIFI,11,1993,2018,8.6,Chris Carter,David Duchovny;Gillian Anderson;Mitch Pileggi
Star Trek: The Next Generation,SCIFI,7,1987,1994,8.6,Gene Roddenberry,Patrick Stewart;Brent Spiner;Jonathan Frakes
The Expanse,SCIFI,6,2015,2022,8.5,Mark Fergus;Hawk Ostby,Steven Strait;Wes Chatham;Dominique Tipper
